,m_address,m_coordinates,m_operating_mode,m_tariff_id,m_pole_id,m_meter_phase,m_id,m_serial,m_tariff.name,m_tariff.electricity_rate_type,m_tariff.block_rate,m_tariff.rate_amount.value,m_tariff.rate_amount.numerator,m_tariff.rate_amount.denominator,m_tariff.time_of_use,m_tariff.load_limit_type,m_tariff.load_limit.value,m_tariff.load_limit.unit,m_tariff.plan_type,m_tariff.low_balance_threshold.amount,m_tariff.low_balance_threshold.currency,m_tariff.inrush_current_protection_disabled,m_tariff.block_rate_cycle_reset_energy,m_tariff.last_block_rate_cycle_reset_at,m_tariff.daily_energy_limit,m_tariff.daily_energy_limit_unit,id
167,,,off,7aeac886-a392-47f4-984e-74329b4b7ea6,,,241d22e7-51fa-4d6c-ae21-8f456c0161fb,SMRPIRF-02-00088ECB,PUE HUB_Millers,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,20000,Watts,,0,ETB,False,,,,kWh,58111d35-7ee3-439d-964f-9745d5371f77
168,,,auto,7aeac886-a392-47f4-984e-74329b4b7ea6,,,67d7a534-46c6-45df-89e6-c2e98b3e4600,SMRPIRF-02-00088EC3,PUE HUB_Millers,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,20000,Watts,,0,ETB,False,,,,kWh,8d22624f-b090-4e50-b17c-18d47be742dd
169,Sheder PUE HUB,,auto,c835e0ae-32c6-4c3e-aa16-cba3fecff868,,,43d1cd2a-5235-43c6-8644-ed612828800e,SMRSDRF-02-0008815B,PUE HUB_Shops,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,5000,Watts,,0,ETB,False,,,,kWh,5d3385a7-d969-4176-8c85-7d472bda9bd0
170,Sheder PUE HUB,,auto,c835e0ae-32c6-4c3e-aa16-cba3fecff868,,,3806a6f1-d167-45ef-8ee3-b0b073d255bc,SMRSDRF-02-0008820C,PUE HUB_Shops,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,5000,Watts,,0,ETB,False,,,,kWh,8e4e694f-65cc-4019-a50e-61711b388e47
171,,,auto,c835e0ae-32c6-4c3e-aa16-cba3fecff868,,,8f85e09e-cd3f-4377-82cd-f0dc47224e2a,SMRSDRF-02-0008821C,PUE HUB_Shops,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,5000,Watts,,0,ETB,False,,,,kWh,13126505-89c0-4612-8bd1-263e5acd61d2
172,,,auto,c835e0ae-32c6-4c3e-aa16-cba3fecff868,,,61b3d5ae-80f8-4cdf-a85f-fe9ae11ca784,SMRSDRF-02-00088220,PUE HUB_Shops,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,5000,Watts,,0,ETB,False,,,,kWh,51476d05-4afb-4df6-8195-164d703fcb06
173,Sheder PUE HUB,,auto,c835e0ae-32c6-4c3e-aa16-cba3fecff868,,,7ba2eac2-259c-4547-8e95-561afcf157b8,SMRSDRF-02-0008821F,PUE HUB_Shops,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,5000,Watts,,0,ETB,False,,,,kWh,9dd3fdf6-d34b-45e3-beed-a7d544da61c4
174,Sheder PUE HUB,,auto,c835e0ae-32c6-4c3e-aa16-cba3fecff868,,,99aa1a4d-288b-4971-a9dc-2eb42d58f665,SMRSDRF-02-00088154,PUE HUB_Shops,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,5000,Watts,,0,ETB,False,,,,kWh,94b25415-9963-4132-818b-2c904b210b9e
175,,,auto,c835e0ae-32c6-4c3e-aa16-cba3fecff868,,,6149a91d-4393-4f8a-aed3-863140262abb,SMRSDRF-02-00088172,PUE HUB_Shops,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,5000,Watts,,0,ETB,False,,,,kWh,76af5159-cb2f-4791-b1e4-a026425101df
176,,,auto,c835e0ae-32c6-4c3e-aa16-cba3fecff868,,,2bc5f89e-24f7-4113-bfd6-8668a32e29ca,SMRSDRF-02-00088168,PUE HUB_Shops,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,5000,Watts,,0,ETB,False,,,,kWh,997b128c-4078-457d-9a6e-d286c9ace4bb
