,m_address,m_coordinates,m_operating_mode,m_tariff_id,m_pole_id,m_meter_phase,m_id,m_serial,m_tariff.name,m_tariff.electricity_rate_type,m_tariff.block_rate,m_tariff.rate_amount.value,m_tariff.rate_amount.numerator,m_tariff.rate_amount.denominator,m_tariff.time_of_use,m_tariff.load_limit_type,m_tariff.load_limit.value,m_tariff.load_limit.unit,m_tariff.plan_type,m_tariff.low_balance_threshold.amount,m_tariff.low_balance_threshold.currency,m_tariff.inrush_current_protection_disabled,m_tariff.block_rate_cycle_reset_energy,m_tariff.last_block_rate_cycle_reset_at,m_tariff.daily_energy_limit,m_tariff.daily_energy_limit_unit,id
343,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,LVZ369,,a036c833-9f33-40a5-b793-ffa58df98cd4,SMRSDRF-02-000882BE,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,d9b6cfce-371a-4ece-b4aa-048c3bca2242
344,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,LVZ367,,c2c261a1-7ab5-4a49-bfcf-f49329f6e785,SMRSDRF-02-00087F10,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,ab409bc8-dea8-4811-9a4e-79eca22f8b6a
345,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,13a7523f-8246-4197-a0aa-85cbf341f9b7,SMRSDRF-02-0008863B,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,b411b6db-2d09-4967-a935-1cf58c924217
346,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,LVZ345,,90b7a897-7be1-4bc1-8e23-5cef938e9e54,SMRSDRF-02-000885E4,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,104b5432-dd40-4cc0-ba1e-988c2dfee9d8
347,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,LVZ370,,9be38232-a6a8-4592-a89f-6cc1cbeee8c1,SMRSDRF-02-00087F11,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,9805a6e9-56ce-46e6-a7d8-2d4529a295c2
348,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,LVZ328,,15ed4d3d-01a1-49df-a750-21403d072c82,SMRSDRF-02-00087F53,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,38e8da96-f129-4d2b-85bd-20e0321aa177
349,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,LVZ360,,7175ffeb-bf6d-4e37-957c-4a36787cc701,SMRSDRF-02-00087F30,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,b4fad9df-5b5a-45c8-8713-2435629a597e
350,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,LVZ362,,3ee60252-b3a1-4613-b64b-dfb5875062c2,SMRSDRF-02-00087F23,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,4b732e84-7a65-4679-9f75-853899a50aa7
351,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,LVZ246,,cb405349-bf99-448a-ba59-b8dc3f10bc9a,SMRSDRF-02-00088098,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,023b508b-c3fc-4153-a136-8ef6dc6464c0
352,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,MVZ219,,cd9df4a7-5d7c-437d-942a-82dd2abfc3d8,SMRSDRF-02-000883E0,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,da7b0ffe-9d62-49a5-b97c-9902273aed9c
353,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,LVZ266,,f17ecb0a-3899-48c8-9d95-786f44719423,SMRSDRF-02-000883DD,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,97e2e683-ff90-470c-805f-1a52ddb453af
